,Question,DomainIntent,Intent,Answer,Class,Cleaned_questions
2,What is the fellowship program?,fellowship program,fellowship program,Coding jobs with emerging tech product companies require confidence in everyday coding. BridgeLabz fellowship program gives engineers the chance to develop in-depth hands-on knowledge in a well-defined Tech Stack by developing real-world Apps. Also we guarantee your job with our partner product companies. ,general,what is the fellowship program
50,Whats up?,fellowship program,greetings,Not much,greetings,whats up
8,What do I need to know to be able to get through the Hackathon?,fellowship program,coding, Try our sample MCQ questions from the Coding Café: Link This will give you an idea of what is expected of you. We look for creative problem-solving ability and basic coding proficiency. Also having some knowledge in any one of Android iOS Angular Mean or Spring Hibernate Tech Stack is a plus to qualify for the fellowship program.,general,what do i need to know to be able to get through the hackathon
1,How much does fellowship program cost?,fellowship program,admission_fees, The program is free to the fellows. You do not have to pay anything for the program. We are currently helping deserving students a stipend for out of pocket expenses for the period of the fellowship.,general,how much doe fellowship program cost
34,Hey There,fellowship program,greetings,Hey,greetings,hey there
23,What does the day-to-day look like?,fellowship program,timing, From morning 8.30 AM to 7.30 PM the fellowship engineers are expected to code. In the beginning it is data structures later it is live sample app and lastly it is to develop App solving the real-world problem statement.,general,what doe the day to day look like
25,What tools will I get a chance to work on?,fellowship program,technologies, Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc,general,what tool will i get a chance to work on
12,What happens to fellows after they graduate?,fellowship program,job, We have placed more than 500 engineers till date in 100+ partner companies. We partner with product companies of all sizes working on emerging tech like Capgemini Urban Ladder Yatra.com MetricStream etc. We guarantee your job with any of our partner companies and we keep partnering with more companies every month.,general,what happens to fellow after they graduate
21,Do I have weekends off in fellowship program?,fellowship program,weekly_off  weekend, Yes you will get every week sunday off.,general,do i have weekend off in fellowship program
33,Hey,fellowship program,greetings,Hi,greetings,hey
7,Do fellowship program offer any package or living accommodations?,fellowship program,package, We are currently helping deserving students with a monthly stipend for out of pocket expenses.,general,do fellowship program offer any package or living accommodation
3,Can the fellowship program be done remotely?,fellowship program,remote work, No! We believe that interaction with the mentors and the live environment is very important for success in the fellowship program.,general,can the fellowship program be done remotely
13,How much package I get after the fellowship program?,fellowship program,package, Our fellows get salaries benchmarked with the best in the industry. The specific salary can depend on the technology being worked on – but our fellows are rated as long term material by our partner companies and get salaries on par with on-campus hires.,general,how much package i get after the fellowship program
26,What tools will fellowship engineer get a chance to work on?,fellowship program,technologies, Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc,general,what tool will fellowship engineer get a chance to work on
30,Hello,fellowship program,greetings,Hi,greetings,hello
46,Good Morning,fellowship program,greetings,Good Morning,greetings,good morning
44,See you,fellowship program,greetings,Bye,greetings,see you
20,how much time will take to complete fellowship program?,fellowship program,duration, The program is 4 months on a full-time basis.,general,how much time will take to complete fellowship program
14,What will be my starting salary?,fellowship program,salary, Our fellows get salaries benchmark with the best in the industry. The specific salary can depend on the technology being worked on – but our fellows are rated as long term material by our partner companies and get salaries on par with on-campus hires.,general,what will be my starting salary
28,How do I get admission in training program?, fellowship, action, You can register here: http://codingtest.bridgelabz.com/apply?cid=NWNiNWNiYzBjZmY0N2UwMDA2MWJiNDJk,general,how do i get admission in training program
11,What can fellowship engineer expect in the technical interview?,fellowship program,interview, The first interview depending on your skills demonstrated in your application and challenge submission will involve some or all of the following: Motivation and why you are interested in the fellowship Your answer to the Hackathon problems and the reasoning behind it. ,general,what can fellowship engineer expect in the technical interview
35,"Hi, How is it going?",fellowship program,greetings,Good,greetings,hi how is it going
29,What is the working hours of the training program?, fellowship, time, From morning 8.30 AM to 7.30 PM the fellowship engineers are expected to code. In the beginning it is data structures later it is live sample app and lastly it is to develop App solving the real-world problem statement.,general,what is the working hour of the training program
41,How do you do?,fellowship program,greetings,I'm doing well,greetings,how do you do
32,Hii,fellowship program,greetings, Hello,greetings,hii
45,Tata,fellowship program,greetings,Bye,greetings,tata
39,How are you doing?,fellowship program,greetings,Good,greetings,how are you doing
48,Good Evening,fellowship program,greetings,Good Evening,greetings,good evening
49,Good Day,fellowship program,greetings,Good Day,greetings,good day
47,Good Afternoon,fellowship program,greetings,Good Afternoon,greetings,good afternoon
22,Do I need to pay for fellowship program?,fellowship program,admission_fees, The program is free to the fellows. You do not have to pay anything for the program. We are currently helping deserving students a stipend for out of pocket expenses for the period of the fellowship.,general,do i need to pay for fellowship program
24,what is the duration of the fellowship program?,fellowship program,duration, The program is 4 months on a full-time basis.,general,what is the duration of the fellowship program
31,Hi,fellowship program,greetings,Hello,greetings,hi
18,What tools will I get a chance to learn?,fellowship program,technologies, Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc,general,what tool will i get a chance to learn
6,Do fellowship program offer any stipend or living accommodations?,fellowship program,stipend accomodations, We are currently helping deserving students with a monthly stipend for out of pocket expenses.,general,do fellowship program offer any stipend or living accommodation
42,"Hi, nice to meet you.",fellowship program,greetings,Thank you. You too.,greetings,hi nice to meet you
5,How do I register for the fellowship program?,fellowship program,register apply, You can register here: http://codingtest.bridgelabz.com/apply?cid=NWNiNWNiYzBjZmY0N2UwMDA2MWJiNDJk,general,how do i register for the fellowship program
38,Whatsup,fellowship program,greetings,Nothing much,greetings,whatsup
37,Howdy,fellowship program,greetings,Hey,greetings,howdy
16,What does the day-to-day look like?,fellowship program,daily work, From morning 8.30 AM to 7.30 PM the fellowship engineers are expected to code. In the beginning it is data structures later it is live sample app and lastly it is to develop App solving the real-world problem statement.,general,what doe the day to day look like
27,Where training will be held?,fellowship program, location, Mumbai., general,where training will be held
4,How do I get in?,fellowship program,enter, You will require to register for one of our recruitment drives and pass our hackathon challenge which includes a technical interview.,general,how do i get in
19,What tools will fellowship engineer get a chance to learn?,fellowship program,technologies, Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc,general,what tool will fellowship engineer get a chance to learn
15,What type of projects will the fellowship engineers get a chance to work on?,fellowship program,project, The fellowship engineers work on the actual real-world problem from the Tech Companies or the IPs being developed by BridgeLabz. The cloud-aware App development spans more than a month with direct interactions with the mentors. The goal is to deliver a product and not a project. We get industry visitors who share their Product World experiences with the fellowship engineers.,general,what type of project will the fellowship engineer get a chance to work on
36,"Hey, How is it going?",fellowship program,greetings,Fine,greetings,hey how is it going
0,How long is the fellowship program?,fellowship program,duration, The program is 4 months on a full-time basis.,general,how long is the fellowship program
10,What can I expect in the technical interview?,fellowship program,interview, The first interview depending on your skills demonstrated in your application and challenge submission will involve some or all of the following: Motivation and why you are interested in the fellowship Your answer to the Hackathon problems and the reasoning behind it. ,general,what can i expect in the technical interview
43,Bye,fellowship program,greetings,see you,greetings,bye
9,What is the minimum qualification for the fellowship program?,fellowship program,qualification, All the candidates need to be Engineers or MCAs with minimum 60% Aggregate and very comfortable in Coding on Data Structures.,general,what is the minimum qualification for the fellowship program
40,Nice to meet you.,fellowship program,greetings,Thank you,greetings,nice to meet you
17,What percentage of the fellowship is developing real-world apps?,fellowship program,applications, 100% of fellowship engineers will be involved in developing Cloud Aware Apps solving real-world problems.,general,what percentage of the fellowship is developing real world apps
